id,abb_usps,abb_gpo,name,fips,eta_region,type,eta_region_name,eta_region_city,X,Y
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,104.807621,-180
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,104.807621,-160
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,122.128129,-150
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,364.615242,-30
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,381.93575,-40
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,381.93575,-60
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,364.615242,-70
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,347.294734,-60
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,347.294734,-40
46,VT,Vt.,Vermont,50,1,state,Region 1,Boston,364.615242,-30
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,312.653718,-120
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,329.974226,-130
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,329.974226,-150
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,312.653718,-160
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,295.33321,-150
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,295.33321,-130
47,VA,Va.,Virginia,51,2,state,Region 2,Philadelphia,312.653718,-120
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,70.166605,-60
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,87.4871131,-70
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,87.4871131,-90
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,70.166605,-100
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,52.8460969,-90
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,52.8460969,-70
48,WA,Wash.,Washington,53,6,state,Region 6,San Francisco,70.166605,-60
49,WV,W. Va.,West Virginia,54,2,state,Region 2,Philadelphia,278.012702,-120
49,WV,W. Va.,West Virginia,54,2,state,Region 2,Philadelphia,295.33321,-130
49,WV,W. Va.,West Virginia,54,2,state,Region 2,Philadelphia,295.33321,-150
49,WV,W. Va.,West Virginia,54,2,state,Region 2,Philadelphia,278.012702,-160
49,WV,W. Va.,West Virginia,54,2,state,Region 2,Philadelphia,260.692194,-150
49,WV,W. Va.,West Virginia,54,2,state,Region 2,Philadelphia,260.692194,-130
